n,real,user,sys,mRSS
1.0,0.002727272727272727,0.0,0.0009090909090909091,4047.2727272727275
2.0,0.0,0.0,0.0,4201.090909090909
3.0,0.0,0.0,0.0,4437.090909090909
4.0,0.0,0.0,0.0,4769.454545454545
5.0,0.0,0.0,0.0,5196.727272727273
10.0,0.010909090909090908,0.007272727272727273,0.0,8818.90909090909
20.0,0.05090909090909091,0.04181818181818182,0.002727272727272727,23573.81818181818
30.0,0.12000000000000001,0.0918181818181818,0.017272727272727273,48127.63636363636
40.0,0.19999999999999998,0.15999999999999998,0.026363636363636367,82495.27272727272
50.0,0.3063636363636364,0.2345454545454545,0.05636363636363637,126670.54545454546
60.0,0.42909090909090913,0.34545454545454546,0.06727272727272728,180653.81818181818
70.0,0.5136363636363636,0.3290909090909091,0.08000000000000002,221348.0
