n,real,user,sys,mRSS
1,0.20,0.00,0.03,3860
2,0.26,0.00,0.02,4004
3,0.19,0.00,0.02,4248
4,0.28,0.00,0.03,4580
5,0.27,0.00,0.02,5012
10,0.28,0.00,0.02,8624
20,0.28,0.03,0.03,23384
30,0.28,0.04,0.06,47936
40,0.42,0.16,0.03,82308
50,0.47,0.22,0.07,126484
60,0.69,0.34,0.06,180468
Command terminated by signal 11
70,0.65,0.26,0.13,221160
Command terminated by signal 11
80,0.25,0.00,0.03,16216
Command terminated by signal 11
90,0.30,0.00,0.04,17228
Command terminated by signal 11
100,0.23,0.00,0.03,18372
Command terminated by signal 11
200,0.30,0.03,0.03,29460
Command terminated by signal 11
300,0.34,0.04,0.05,51452
Command terminated by signal 11
400,0.36,0.06,0.08,82220
