    n,real,user,sys,mRSS
    1,0.38,0.13,0.05,39452
    2,0.40,0.14,0.03,39508
    3,0.33,0.13,0.03,39636
    4,0.39,0.15,0.02,39192
    5,0.39,0.14,0.01,39432
    10,0.41,0.14,0.03,40920
    20,0.35,0.10,0.06,44828
    30,0.39,0.17,0.02,49456
    40,0.47,0.17,0.04,57920
    50,0.46,0.20,0.03,69944
    60,0.53,0.26,0.05,74988
    70,0.73,0.33,0.03,91528
    80,0.67,0.35,0.05,103932
    90,0.75,0.57,0.03,120140
    100,0.80,0.59,0.04,138768
    200,2.64,2.34,0.23,397712
    300,5.89,5.29,0.60,830160
    400,9.97,9.87,1.13,1435612
