n,real,user,sys
1,0.16,0.00,0.02
2,0.22,0.00,0.02
3,0.15,0.00,0.02
4,0.15,0.00,0.01
5,0.23,0.00,0.02
10,0.15,0.01,0.01
20,0.18,0.01,0.04
30,0.23,0.06,0.02
40,0.36,0.09,0.03
50,0.34,0.16,0.04
60,0.58,0.27,0.07
Command terminated by signal 11
70,0.66,0.26,0.10
Command terminated by signal 11
80,0.23,0.00,0.03
Command terminated by signal 11
90,0.30,0.00,0.03
Command terminated by signal 11
100,0.38,0.00,0.04
Command terminated by signal 11
200,0.30,0.01,0.03
Command terminated by signal 11
300,0.33,0.05,0.03
Command terminated by signal 11
400,0.36,0.03,0.05
